id,label,x,y,,,,,,,
50621,Olbia (Borysthenes),46.6919,31.9016,,,,,,,
50622,Akamas Pr.,35.11,32.28,,,,,,,
50623,Kalos Limen,45.5209,32.7033,,,,,,,
50624,Anemurium,36.02,32.8,,,,,,,
50625,Amathous,34.71,33.13,,,,,,,
50626,Karambis Pr.,42.0136,33.3697,,,,,,,
50627,Chersonesos,44.6116,33.4933,,,,,,,
50628,Lapethos,35.27,33.86,,,,,,,
50630,Pedalion Pr.,34.96,34.08,,,,,,,
50631,Corycus,36.46,34.15,,,,,,,
50632,Cinolis,41.9634,34.1637,,,,,,,
50634,Kleides Pr.,35.7,34.59,,,,,,,
50636,Ioppe,32.0545,34.7511,,,,,,,
50637,Apollonia,32.2128,34.816,,,,,,,
50639,Sinope,42.0492,35.0419,,,,,,,
50641,Theodosia,45.0461,35.3788,,,,,,,
50642,Pyramos (river),36.57,35.56,,,,,,,
50643,Byblos,34.12,35.64,,,,,,,
50644,Myriandros,36.59,36.19,,,,,,,
50646,Pantikapaion,45.2385,36.4141,,,,,,,
50647,Themiskyra,41.2152,36.9677,,,,,,,
50648,Gorgippia,44.8922,37.3103,,,,,,,
50649,Kotyora,41.0002,37.8752,,,,,,,
50650,Tanais,47.2678,39.258,,,,,,,
50651,Dioscurias,42.9933,41.0031,,,,,,,
50652,Phasis,42.15,41.6674,,,,,,,
50654,Raphia,31.2886,34.2519,,,,,,,
50658,Azotus Paralios,31.8,34.65,,,,,,,
50660,Apollonopolis Magna,24.9803375,32.873196,,,,,,,
50661,Krokodilopolis,25.5524075,32.4392095,,,,,,,
50674,Latopolis,25.25367995,32.53481865,,,,,,,
50677,Mons Porphyrites,27.25,33.25,,,,,,,
50678,Mothis,25.483,28.98,,,,,,,
50682,Ammon,29.2051,25.5435,,,,,,,
50690,Oasis Parva,28.373334,28.8971005,,,,,,,
50700,Qasr Farafra,27.324,27.5813,,,,,,,
50713,Malaca,36.719658,-4.420163,,,,,,,.
50714,Panormus,38.11127,13.3534422,,,,,,,
50715,Agrigentum,37.290594,13.585475,,,,,,,
50716,Aleria,42.061,9.304,,,,,,,
50717,Demetrias,39.22,22.56,,,,,,,
50718,Amphipolis,40.8241452,23.8432567,,,,,,,
50719,Tripolis,41.002,38.819,,,,,,,
50720,Forum Appii,41.46639,12.9975,,,,,,,
50721,x30,39.215,-8.754,,,,,,,
50725,Neapolis (Thrace),40.9122828,24.3767454,,,,,,,
50726,x1,39.1904679,-8.6993525,,,,,,,
50727,x5,38.9875008,-6.1137685,,,,,,,
50730,x7,52.20465,-3.0415301,,,,,,,
50731,x8,44.3817345,19.0738212,,,,,,,
50732,x9,43.079836,17.9331228,,,,,,,
50733,x10,42.761343,18.2593461,,,,,,,
50735,x11,45.6129443,22.9324739,,,,,,,
50736,x12,45.3753866,17.8709491,,,,,,,
50737,x13,45.2701432,18.523541,,,,,,,
50738,x6,46.3757442,15.3683381,,,,,,,
50739,x14,38.3045102,30.6199778,,,,,,,
50741,Krane,36.182062,24.4759393,,,,,,,
50742,Horreum Margi,43.9320974,21.3257041,,,,,,,
50743,Boiodurum,48.572,13.463,,,,,,,
50744,Toletum,39.856,-4.024,,,,,,,
50745,x15,37.9453471,-7.6121914,,,,,,,
50746,x16,45.4225716,12.1461174,,,,,,,
50747,x17,46.3727044,13.1262657,,,,,,,
50748,x18,47.3993741,18.9499158,,,,,,,
50749,x21,42.006,19.64,,,,,,,
50750,x22,41.095634,19.5977424,,,,,,,
50751,x23,42.0521435,25.5926985,,,,,,,
50752,x24,49.9464185,7.898977,,,,,,,
50753,x25,44.4240433,15.6180442,,,,,,,
50754,x26,44.836234,11.5713405,,,,,,,
50755,Selinous,39.165,23.616,,,,,,,
50756,Palma,39.569,2.649,,,,,,,
50757,x19,45.9866449,23.4688567,,,,,,,
50758,Samonion Pr.,39.75,26.25,,,,,,,
50759,Mouth of Witham,52.978,0.026,,,,,,,
50760,x20,32.6228525,36.0818973,,,,,,,
50761,Populonium,42.966,10.769,,,,,,,
50762,Palinurus Pr.,40.035,15.288,,,,,,,
50763,x31,46.7062153,11.6152625,,,,,,,
50764,x32,45.1321286,9.5543103,,,,,,,
50765,x4,43.8122093,10.3975346,,,,,,,
50766,x33,35.8820604,36.281941,,,,,,,
50767,x34,36.4995437,36.3396694,,,,,,,
50768,x35,47.6694096,17.5884738,,,,,,,
50769,x28,45.246853,28.1231867,,,,,,,
50770,x29,44.4042612,28.5503555,,,,,,,
50771,x2,35.2868264,36.7355496,,,,,,,
50772,x3,45.0075919,9.0971556,,,,,,,
50773,x27,45.1687312,9.5754003,,,,,,,
50774,x36,45.9472441,2.1349908,,,,,,,
50775,Nisyros,36.587875,27.172056,,,,,,,
50776,Amorgos,36.83,25.9,,,,,,,
50777,Anaphe,36.3498205,25.8540694,,,,,,,
50778,Andros,37.85,24.86,,,,,,,
50779,Ceos,37.616667,24.333333,,,,,,,
50780,Corseae,37.566,26.5,,,,,,,
50781,Cythnos,37.383,24.416,,,,,,,
50782,Donousa,37.1,25.8,,,,,,,
50783,Icaros,37.6215,26.059,,,,,,,
50784,Imbros,40.160833,25.844444,,,,,,,
50785,Ios,36.716667,25.333333,,,,,,,
50786,Kerea,36.8919344,25.6190021,,,,,,,
50787,Kimolos,36.8,24.55,,,,,,,
50788,Kinaros,36.98,26.289,,,,,,,
50789,Lebinthos,37.005,26.459,,,,,,,
50790,Leros,37.875,23.625,,,,,,,
50791,Miletus,37.5312131,27.2756764,,,,,,,
50792,Mykonos,37.44,25.37,,,,,,,
50793,Naxos,37.103,25.378,,,,,,,
50795,Patmos,37.3157746,26.5578532,,,,,,,
50796,Skyllaion Pr.,37.438,23.518,,,,,,,
50797,Siphnos,36.983333,24.666667,,,,,,,
50798,Syros,37.43,24.92,,,,,,,
50799,Telos,36.433,27.336,,,,,,,
50800,Tenos,37.553,25.116,,,,,,,
50801,Thera,36.416667,25.433333,,,,,,,
