id,label,x,y,,,,,,,
50130,Coptos,25.977,32.798,,E,,,,,
50131,Corduba,37.885,-4.779,,,,,,,
50132,Corfinium,42.124,13.842,,,,,,,
50133,Coriosopitum,54.978,-2.029,,,,,,,
50134,Cosa,42.407,11.289,,,,,,,
50135,Cuicul,36.315,5.738,,,,,,,
50136,Cumae,40.847,14.056,,,,,,,
50137,Curia,46.849,9.531,,,,,,,
50138,Cyrene,32.823,21.857,,,,,,,
50139,Cyrrhus,36.735,36.949,,,,,,,
50140,Damascus,33.512,36.309,,,,,,,
50141,Darnis,32.769,22.642,,,,,,,
50142,Decetia,46.828,3.461,,,,,,,
50143,Delphi,38.482,22.498,,,,,,,
50144,Dertona,44.897,8.865,,,,,,,
50145,Dertosa,40.811,0.521,,,,,,,
50146,Deultum,42.445,27.367,,,,,,,
50147,Deva,53.191,-2.895,,,,,,,
50148,Diana Veteranorum,35.694,6.189,,,,,,,
50149,Dierna,44.725,22.396,,,,,,,
50150,Thebai,25.702,32.652,,E,,,,,
50151,Doclea,42.5,18.5,,,,,,,
50152,Domavium,44.144,19.363,,,,,,,
50153,Dorylaion,39.775,30.517,,,,,,,
50154,Drobeta,44.636,22.66,,,,,,,
50155,Dura,34.747,40.73,,,,,,,
50156,Durnonovaria,50.711,-2.434,,,,,,,
50157,Durocortorum,49.254,4.033,,,,,,,
50158,Durostorum,44.117,27.261,,,,,,,
50159,Dyrrhachium,41.316,19.45,,,,,,,
50160,Eburacum,53.958,-1.082,,,,,,,
50161,Edessa,37.176,38.776,,,,,,,
50162,Eleusis,38.046,23.544,,,,,,,
50163,Emerita Augusta,38.916,-6.346,,,,,,,
50164,Emesa,34.85,36.74,,,,,,,
50165,Emmaus,31.839,34.989,,,,,,,
50166,Emona,46.051,14.506,,,,,,,
50167,Emporiae,42.132,3.109,,,,,,,
50168,Endidae,46.318,11.274,,,,,,,
50169,Ephesus,37.94,27.341,,,,,,,
50170,Epiphaneia,35.14,36.74,,,,,,,
50171,Fanum Fortunae,43.845,13.017,,,,,,,
50172,Faventia,44.286,11.884,,,,,,,
50173,Ferentinum,41.693,13.253,,,,,,,
50174,Florentia,43.769,11.257,,,,,,,
50175,Formiae,41.256,13.606,,,,,,,
50176,Forum Iulii,43.432,6.735,,,,,,,
50177,Fregellanum,41.546,13.513,,,,,,,
50178,Gadara,32.022,35.717,,,,,,,
50179,Gades,36.53,-6.292,,,,,,,
50180,Galacum,54.172,-2.59,,,,,,,
50181,Gaza,31.511,34.458,,,,,,,
50182,Genava,46.203,6.139,,,,,,,
50183,Genua,44.407,8.934,,,,,,,
50184,Germa,39.511,31.616,,,,,,,
50185,Gesoriacum,50.725,1.615,,,,,,,
50186,Glevum,51.875,-2.264,,,,,,,
50187,Hadrianoupolis,41.684,26.567,,,,,,,
50188,Hadrumetum,35.826,10.639,,,,,,,
50189,Heliopolis,30.132,31.285,,,,,,,
50190,Heliopolis (Baalbek),34.015,36.203,,,,,,,
50191,Heraklea,41.032,21.336,,,,,,,
50192,Herakleopolis,29.086,30.938,,,,,,,
50193,Herdoniae,41.317,15.628,,,,,,,
50194,Hermopolis Magna,27.778,30.804,,,,,,,
50195,Hibis,25.438,30.553,,,,,,,
50196,Hierakonpolis,31.038,30.347,,,,,,,
50197,Hierasykaminos,23.069,32.683,,,,,,,
50198,Hippo Regius,36.884,7.755,,,,,,,
50199,Hispalis,37.383,-5.996,,,,,,,
50200,Histria,44.645,28.769,,,,,,,
50201,Iader,44.115,15.229,,,,,,,
50202,Iconium,37.847,32.516,,,,,,,
50203,Ilerda,41.614,0.626,,,,,,,
50204,Ilium,39.949,26.344,,,,,,,
50205,Interpromium,42.244,13.934,,,,,,,
50206,Iol Caesarea,36.607,2.197,,,,,,,
50207,Isca,50.5,-3.5,,,,,,,
50208,Italica,37.444,-6.047,,,,,,,
50209,Iulia Concordia,45.757,12.844,,,,,,,
50210,Iuliomagus,47.469,-0.549,,,,,,,
50211,Iulium Carnicum,46.461,13.026,,,,,,,
50212,Iuvavum,47.801,13.044,,,,,,,
50213,Jerusalem,31.777,35.234,,,,,,,
50214,Kallipolis,40.41,26.684,,,,,,,
50215,Kapitolias,32.598,35.858,,,,,,,
50216,Katabolos,36.908,35.989,,,,,,,
50217,Kellis,25.549,28.908,,E,,,,,
50218,Klaudianon,26.799,33.486,,,,,,,
50219,Flaviopolis,40.812,32.165,,,,,,,
50220,Lacobriga,42.339,-4.602,,,,,,,
50221,Lamasba,35.629,5.911,,,,,,,
50222,Lambaesis,35.492,6.256,,,,,,,
50223,Lampsacus,40.347,26.699,,,,,,,
50224,Lancia,42.534,-5.414,,,,,,,
50225,Laodicea,35.641,35.794,,,,,,,
50226,Larinum,41.807,14.919,,,,,,,
50227,Larissa,39.633,22.424,,,,,,,
50228,Lauriacum,48.221,14.466,,,,,,,
50229,Legio VII,42.606,-5.57,,,,,,,
50230,Lepcis Magna,32.637,14.292,,,,,,,
50231,Limonum,46.587,0.343,,,,,,,
50232,Lindum,53.25,-0.559,,,,,,,
50233,Lixus,35.199,-6.11,,,,,,,
50234,Loium,40.4,0.724,,,,,,,
50235,Londinium,51.513,-0.089,,,,,,,
50236,Lousonna,46.519,6.632,,,,,,,
